Date,Open,High,Low,Close,Adj Close,Volume,Turnover
2/9/15,0.13,0.15,0.1,0.14,0.13661,82500,0.002384393
2/10/15,0.165,0.49,0.125,0.15,0.146368,766635,0.022157081
2/11/15,0.12,0.16,0.11,0.125,0.121973,218023,0.006301243
2/12/15,0.13,0.13,0.13,0.13,0.126852,70500,0.002037572
2/13/15,0.13,0.13,0.12,0.125,0.121973,200000,0.005780347
2/17/15,0.125,0.125,0.12,0.125,0.121973,110000,0.003179191
2/18/15,0.125,0.125,0.105,0.11,0.107336,333000,0.009624277
2/19/15,0.11,0.12,0.11,0.12,0.117094,35000,0.001011561
2/20/15,0.115,0.215,0.115,0.115,0.112215,71300,0.002060694
2/23/15,0.11,0.115,0.1,0.115,0.112215,174333,0.005038526
2/24/15,0.11,0.11,0.11,0.11,0.107336,14000,0.000404624
2/25/15,0.105,0.11,0.105,0.11,0.107336,70000,0.002023121
2/26/15,0.12,0.12,0.12,0.12,0.117094,1000,2.89017E-05
2/27/15,0.115,0.12,0.115,0.115,0.112215,100000,0.002890173
3/2/15,0.12,0.15,0.1,0.1,0.097579,28552,0.000825202
3/3/15,0.115,0.115,0.1,0.115,0.112215,228506,0.00660422
3/4/15,0.115,0.115,0.1,0.115,0.112215,11574,0.000334509
3/5/15,0.11,0.11,0.11,0.11,0.107336,4000,0.000115607
3/6/15,0.105,0.165,0.05,0.11,0.107336,60117,0.001737486
3/9/15,0.105,0.105,0.1,0.1,0.097579,38000,0.001098266
3/10/15,0.1,0.1,0.1,0.1,0.097579,0,0
3/11/15,0.105,0.11,0.05,0.11,0.107336,30001,0.000867081
3/12/15,0.105,0.105,0.105,0.105,0.102457,4000,0.000115607
3/13/15,0.105,0.105,0.105,0.105,0.102457,0,0
3/16/15,0.105,0.105,0.105,0.105,0.102457,0,0
3/17/15,0.1,0.1,0.1,0.1,0.097579,60000,0.001734104
3/18/15,0.105,0.105,0.105,0.105,0.102457,26500,0.000765896
3/19/15,0.105,0.105,0.105,0.105,0.102457,1000,2.89017E-05
3/20/15,0.1,0.105,0.1,0.105,0.102457,174000,0.005028902
3/23/15,0.1,0.1,0.095,0.095,0.0927,36500,0.001054913
3/24/15,0.11,0.11,0.095,0.095,0.0927,500,1.44509E-05
3/25/15,0.1,0.135,0.1,0.1,0.097579,37900,0.001095376
3/26/15,0.1,0.1,0.1,0.1,0.097579,0,0
